"","methanotrophy","methanogenesis_by_CO2_reduction_with_H2","methanogenesis_by_reduction_of_methyl_compounds_with_H2","hydrogenotrophic_methanogenesis","methanogenesis","methanol_oxidation","methylotrophy","aerobic_ammonia_oxidation","aerobic_nitrite_oxidation","sulfate_respiration","sulfur_respiration","nitrate_denitrification","chitinolysis","dark_hydrogen_oxidation","nitrogen_fixation","cellulolysis","xylanolysis","dark_sulfide_oxidation","dark_oxidation_of_sulfur_compounds","manganese_oxidation","fermentation","aerobic_chemoheterotrophy","invertebrate_parasites","human_pathogens_septicemia","human_pathogens_pneumonia","human_pathogens_gastroenteritis","human_pathogens_diarrhea","human_pathogens_all","human_gut","animal_parasites_or_symbionts","plant_pathogen","aromatic_hydrocarbon_degradation","aromatic_compound_degradation","aliphatic_non_methane_hydrocarbon_degradation","hydrocarbon_degradation","iron_respiration","nitrate_respiration","nitrate_reduction","intracellular_parasites","chlorate_reducers","predatory_or_exoparasitic","nonphotosynthetic_cyanobacteria","photosynthetic_cyanobacteria","anoxygenic_photoautotrophy_S_oxidizing","photoheterotrophy","ureolysis"
"AB1Inner.16S.S2",0,11.07,2.67,13.74,0,0,2.67,0,0,0,0,0,0,11.45,0,0.38,0,0,0,0,7.63,9.92,0,0,0,0,0,0.38,0.38,0,0,0,0,0,0,0,0,0.38,0,0,0.38,0,0,0,0.38,0
"AB1Mineral.16S.S2",2.38,0,0,0,0,0,2.38,0,0,0,0,0,0,7.74,2.38,4.17,0,0,0,0,0,33.33,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0.6,0,0,0.6,0,0,0,0,0
"AB1Organic.16S.S2",0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,3.55,0,0,0,0,0.36,27.53,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,1.6,0,0.18,0.89,0,0,0,0
"AB1Outer.16S.S2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39,52.24,0,0,0,0,0,16.42,16.42,0,0,0,0,0,0,0,0,16.42,0,0,0,0,0,0,0,0
"AB10Inner.16S.S",0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,47.55,0,0,0,0,0,2.8,2.8,0.7,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0.7
"AB10Mineral.16S.S",1.2,0,0,0,0,0,1.2,0,0,0,0,0,0,9.34,1.2,2.71,0,0,0,0,0,38.55,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0.6,0
"AB10Organic.16S.S",0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,2.43,0,0,0,0,0.16,30.42,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.81,0,0.65,0.49,0,0,0,0
"AB10Outer.16S.S1",0.67,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,6,32.67,0,0,0,0,0,0.67,0.67,0,0,0,0.67,0,0,0,0,0.67,0,0,0.67,0,0,0,0,0.67
"AB11Inner.16S.S1",1.79,0,0,0,0,1.79,0,0,0,0,0,0,0,0.6,0,2.98,0,0,0,0,1.19,38.69,0,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0.6,0,0,1.79
"AB11Mineral.16S.S1",1.04,0,0,0,0,0,1.04,0,0,0,0,0,0,9.59,1.04,1.04,0,0,0,0,0,37.56,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0.52,0.78,0,0.26,0.26,0,0,0,0
