"","methanotrophy","methanogenesis_by_CO2_reduction_with_H2","methanogenesis_by_reduction_of_methyl_compounds_with_H2","hydrogenotrophic_methanogenesis","methanogenesis","methanol_oxidation","methylotrophy","aerobic_ammonia_oxidation","aerobic_nitrite_oxidation","sulfate_respiration","sulfur_respiration","nitrate_denitrification","chitinolysis","dark_hydrogen_oxidation","nitrogen_fixation","cellulolysis","xylanolysis","dark_sulfide_oxidation","dark_oxidation_of_sulfur_compounds","manganese_oxidation","fermentation","aerobic_chemoheterotrophy","invertebrate_parasites","human_pathogens_septicemia","human_pathogens_pneumonia","human_pathogens_gastroenteritis","human_pathogens_diarrhea","human_pathogens_all","human_gut","animal_parasites_or_symbionts","plant_pathogen","aromatic_hydrocarbon_degradation","aromatic_compound_degradation","aliphatic_non_methane_hydrocarbon_degradation","hydrocarbon_degradation","iron_respiration","nitrate_respiration","nitrate_reduction","intracellular_parasites","chlorate_reducers","predatory_or_exoparasitic","nonphotosynthetic_cyanobacteria","photosynthetic_cyanobacteria","anoxygenic_photoautotrophy_S_oxidizing","photoheterotrophy","ureolysis"
"AB1Inner.16S.S2",0,9.03,0.74,9.77,0,0,0.74,0,0,0,0,0,0,9.09,0,0.06,0,0,0,0,3.89,5.03,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0.09,0,0,0.06,0,0,0,0.06,0
"AB1Mineral.16S.S2",2.17,0,0,0,0,0,2.17,0,0,0,0,0,0,10.03,2.17,5.49,0,0,0,0,0,35.6,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0.83,0,0,0.31,0,0,0,0,0
"AB1Organic.16S.S2",0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,3.86,0,0,0,0,0.2,26.46,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,1.63,0,0.2,0.63,0,0,0,0
"AB1Outer.16S.S2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,81.74,0,0,0,0,0,6.26,6.26,0,0,0,0,0,0,0,0,6.26,0,0,0,0,0,0,0,0
"AB10Inner.16S.S",0.69,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,46.74,0,0,0,0,0,1.54,1.54,1.23,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0.69
"AB10Mineral.16S.S",0.91,0,0,0,0,0,0.91,0,0,0,0,0,0,10,0.91,3,0,0,0,0,0,33.94,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0.09,0,0.06,0,0,0,0,0,0.77,0
"AB10Organic.16S.S",0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,2.37,0,0,0,0,0.06,28.06,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0.31,0,0.77,0.74,0,0,0,0
"AB10Outer.16S.S1",0.97,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,3.14,52.4,0,0,0,0,0,0.83,0.83,0,0,0,0.29,0,0,0,0,0.83,0,0,0.51,0,0,0,0,0.97
"AB11Inner.16S.S1",1.11,0,0,0,0,1.11,0,0,0,0,0,0,0,0.43,0,1.49,0,0,0,0,2.54,64.09,0,0,0.51,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0.83,0,0,1.11
"AB11Mineral.16S.S1",1.03,0,0,0,0,0,1.03,0,0,0,0,0,0,10.06,1.03,1.74,0,0,0,0,0,31.97,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0.49,0.4,0,0.11,0.17,0,0,0,0
"AB11Organic.16S.S1",0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,2.17,0,0,0,0,0,32.34,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0.34,0,0.37,0.8,0,0,0,0
"AB11Outer.16S.S1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,48.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,1.49,0
"AB2Inner.16S.S2",0,26.94,15.71,42.66,0,0,15.71,0,0,0,0,0,0,26.94,0,0.03,0,0,0,0,2.89,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2Mineral.16S.S3",1.46,0,0,0,0,0,1.46,0,0,0,0,0,0,8.71,1.46,4.23,0,0,0,0,0,32.71,0,0,0,0,0,0.17,0,2.49,0,0,0,0,0,0,0.17,0.69,0.46,0,0.14,0.29,0,0,0.37,0
"AB2Organic.16S.S3",0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,3.8,0,0,0,0,0,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1.09,0,0,2.29,0,0,0,0
"AB2Outer.16S.S3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,3.03,50.46,0,0,0,0,0,0.54,0.54,0,0,0,0.31,0,0.29,0,0,0.77,0,0,0.69,0,0,0,0.23,0
"AB3Inner.16S.S3",0.43,0.49,0,0.49,0,0.43,0,0,0,0,0,0,0,0.49,0,0.6,0,0,0,0,0.03,34.94,0,0,0.43,0,0,0.43,0,0,0,0,1.2,0,0,0,0,0,0.2,0,0.23,0,0.37,0,0,0.43
"AB3slash5Inner.16S.S4",0.69,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,56.4,0,0,0,0,0,2.26,2.26,0,0,0,1,0,0,0,0,2.94,0,0,0,0,0,0,0,0.69
"AB3slash5Mineral.16S.S4",1.57,0,0,0,0,0,1.57,0,0,0,0,0,0,12.2,1.57,3.74,0,0,0,0,0,42.26,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0.8,0.46,0,0.03,0,0,0,0,0
"AB3slash5Organic.16S.S4",0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,4,0,0,0,0,0,28.63,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0.31,0,0.54,0.37,0,0,0.34,0
"AB3slash5Outer.16S.S4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,94.11,0,0,0,0,0,2.4,2.4,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0
"AB4Inner.16S.S4",0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0.17,0,0,0,0,5.06,68.09,0,0,0,0,0,3.54,3.54,0,0,0,0.37,0,0,0,0,3.54,0,0,1.29,0,0,0,0,0
"AB4Mineral.16S.S5",1.63,0,0,0,0,0,1.63,0,0,0,0,0,0,7.4,1.63,2.77,0,0,0,0,0,30.4,0,0,0,0,0,0.11,0,2.11,0,0,0,0,0,0,0,1.17,1.97,0,0.43,0.03,0,0,0.57,0
"AB4Organic.16S.S5",0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,3.83,0,0,0,0,0,29.97,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0.23,0,0,1.03,0,1.31,0.09,0,0,0,0
"AB4Outer.16S.S5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,87.43,0,0,0,0,0,0.69,0.69,0,0,0,0.54,0,0,0,0,0.69,0,0,0,0,0,0,0,0
"AB4slash6Mineral.16S.S5",1.74,0,0,0,0,0,1.74,0,0,0,0,0,0,10.54,1.74,3.69,0,0,0,0,0,38.34,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0.57,0.83,0,0,0.66,0,0,0,0
"AB4slash6Organic.16S.S6",0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,2.09,0,0,0,0,0,31.2,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,1.69,0,0.4,0.2,0,0,0.37,0
"AB4slash6Outer.16S.S6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,72.89,0,0,0,0,0,3.11,3.11,1.49,0,0,1.49,0,0,0,0,3.11,0,0,0,0,0,0,0,0
"AB5Inner.16S.S7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,5.31,13.66,0,0,0,0,0,1.4,1.4,0,0,0,0,0,0,0,0,1.4,0.54,0,0,0,0,0,0,0
"AB5Mineral.16S.S7",1.49,0,0,0,0,0,1.49,0,0,0,0,0,0,9.31,1.49,4.77,0,0,0,0,0,36.8,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0.71,0.49,0,0.71,0.03,0,0,0,0
"AB5Organic.16S.S7",0.26,0,0,0,0,0,0.26,0,0,0,0,0,0,3.66,0.26,3.2,0,0,0,0,0.2,31.46,0,0,0,0,0,0.2,0,0.86,0,0,0,0,0,0,0.2,0,0.34,0,0.74,0.49,0,0,0.14,0
"AB5Outer.16S.S7",0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0.43,0,11.11,43.74,0,0,0,0,0,0.86,0.86,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0
"AB501Inner.16S.S6",0,42.06,0.57,42.63,0,0,0.57,0,0,0,0,0,0,49.77,0,0,0,0,0,0,4.09,18.46,0,0,0,0,0,0,0,0.17,0,0,0.09,0,0,0,0,0.23,0.17,0,0.03,0.03,0,0,0.66,0.03
"AB501Mineral.16S.S6",2.37,0,0,0,0,0,2.37,0,0,0,0,0,0,9.86,2.37,3.86,0,0,0,0,0,33.71,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0.6,0,0.06,0,0,0,0.26,0
"AB501Organic.16S.S6",0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,3.03,0,0,0,0,0,25.46,0,0,0,0,0,0.06,0,0.34,0,0,0,0,0,0.51,0,0,1.26,0,0.34,0.51,0,0,0.6,0
"AB501Outer.16S.S7",0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,4.37,91.74,0,0,0,0,0,3.49,2.8,0,0,0,0,0,0,0,0.69,2.8,0,0,0,0,0,0,0,0
"AB6Inner.16S.S8",1.86,0,0,0,0,1.86,0,0,0,0,0,0,0,0.69,0,0.51,0,0,0,0,7.4,35.29,0,0,0,0,0,0.4,0.4,1.03,0,0,2.11,0,0,0,0,0.4,0,0,0,0,0,0,0,1.86
"AB6Mineral.16S.S8",1.26,0,0,0,0,0,1.26,0,0,0,0,0,0,10.37,1.26,2.86,0,0,0,0,0,40.74,0,0,0,0,0,0.03,0,3.17,0,0,0,0,0,0,0,0.17,0.54,0,0.11,0.57,0,0,0,0.23
"AB6Organic.16S.S8",0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,3.74,0,0,0,0,0,37.06,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.51,0,0,0.6,0,0.43,0.51,0,0,0.46,0
"AB6primeInner.16S.S8",0,0,0.29,0.29,0,0,0.29,0.94,0,0,0,0,0,0.46,1,0,0,0,0,0,3.51,34.69,0,0,0,0,0,1.74,1.74,1.09,0,0,1.03,0,0,0,0,2.11,1.2,0,0.06,0,0,0,0,0.31
"AB6primeMineral.16S.S9",1.74,0,0,0,0,0,1.74,0,0,0,0,0,0,8.51,1.74,3.77,0,0,0,0,0,34.51,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0.31,0.71,0,0.17,0,0,0,0.23,0
"AB6primeOrganic.16S.S9",0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,4.11,0,0,0,0,0.03,33.37,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0.46,0,0,0.37,0,0.86,0.77,0,0,0.23,0
"AB6primeOuter.16S.S9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB9Inner.16S.S9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,5.74,45.46,0,0,0,0,0,2.69,2.69,0.23,0,0,0.23,0,0,0,0,2.69,0,0,0,0,0,0,0,1.4
"AB9Mineral.16S.S9",0.54,0,0,0,0,0,0.54,0,0,0,0,0,0,6.11,0.54,3.71,0,0,0,0,0,27.74,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0.34,0,0.03,0.51,0,0,0,0
"AB9Organic.16S.S10",0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,3.11,0,0,0,0,0,26.91,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0.91,0,1.09,0.83,0,0,0,0
"AB9Outer.16S.S10",0,1.09,0.17,1.26,0,0,0.17,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,85.6,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0.83,0,0,0,0,0
"ABT14PInner.16S.S10",0.94,0,0,0,0,0.94,0,0,0,0,0,0,0,0.43,0,6.6,0,0,0.29,0,21.23,35.17,0,0,0,0,0,1.89,1.89,0,0,0,1.14,0,0,0,0,1.89,0,0,0,0,0,0,0,0.94
