"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"AB1Inner.ITS.S22",1.1,98.53,0.45,0,0.03,0,0.2,0,0,0.35,1.1,0.2,0,0,0,0,0,0,0.25,0,0,0,0,0,0.2,0
"AB1Mineral.ITS.S24",48.98,24.05,61.58,0.1,0.6,52.35,37.85,0.1,0.07,2.48,0.15,3.28,9.85,0.05,2.78,12.93,1.15,0.03,0,0,0,1.57,0,0,0.1,0
"AB1Organic.ITS.S26",15.47,13.8,67.9,0.03,0.6,63.1,5.3,0.05,0,5.05,0.25,2.25,7.15,0,1.93,5.15,3.33,0.2,0,0,0,3.35,0.45,0.05,0,0
"AB10Mineral.ITS.S8",16.3,28.85,53.62,0,1.98,38.6,5.3,0,0,11.45,0.78,9.35,6.38,0.03,8.5,8.65,8.78,0.12,0,0,0,4.62,0.52,0.52,0.4,0
"AB10Organic.ITS.S10",14.6,20.82,73.28,0,2.15,65.72,6.88,0,0,14.28,0.55,1.93,3.12,0,1.35,1.18,5.82,0.3,0,0,0,6.5,0.45,0,0.03,0
"AB11Mineral.ITS.S16",21.9,42.15,64.03,0.88,2.83,38.1,12,0.88,0.88,4.85,1.85,9.3,5.55,0.03,6.95,12.57,1.18,0.03,0,0,0,5.18,0.03,0.03,1.25,0
"AB11Organic.ITS.S18",6.22,24.95,57.77,0.05,3.38,52.4,1.95,0,0,16.77,0.32,2.3,1.32,0.05,2,1.85,2.52,0.1,0.03,0,0,3.4,0.2,0,0,0
"AB2Inner.ITS.S30",1.6,97.38,0.35,0,0,0,0.38,0.07,0,0.52,1.25,0.28,0.28,0.05,0,0.05,0,0,0.03,0,0,0,0,0,0.22,0
"AB2Mineral.ITS.S32",35.58,18.15,44.15,0,0.1,35.95,7.82,0,0,1.85,0.42,3.45,25.5,0,2.88,9.18,1.43,0.05,0.15,0,0,2.45,0,0,0.32,0
"AB2Organic.ITS.S34",11.53,23.68,56.58,0.05,0.3,52.52,2.38,0.03,0.03,4.4,0.48,1.88,7.8,0,1.45,15.88,2.5,0.12,0,0,0,2.35,0.1,0,0.03,0
"AB3slash5Inner.ITS.S42",3.65,98.15,0,0,0,0,0,0,0,0.95,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB3slash5Mineral.ITS.S44",26.05,39.93,39.1,0,1.18,25.98,0.5,0,0,3.98,0.2,8.68,21.75,0,8.15,21.55,2.95,0.08,0,0,0,3.92,0.45,0.45,0.05,0
"AB3slash5Organic.ITS.S46",12.18,31.92,48.95,0.17,1.25,45.1,2.17,0.2,0.03,8.05,0.22,1.85,7.58,0.03,1.38,14.3,5.3,0.52,0,0,0.05,2.33,0.2,0,0,0
"AB4Mineral.ITS.S52",52.67,14.1,76.98,0,0.5,69.48,41.67,0,0,3.15,0.38,4.62,8.47,0,3.7,5.22,2.05,0.07,0,0,0,2.88,0.28,0.28,0.05,0
"AB4Organic.ITS.S54",28.65,17.52,73.47,0.2,2.65,69.65,23.52,0.05,0,4.58,0.38,1.52,2.72,0,1.32,5.15,1.38,0.12,0,0,0.05,2.6,0.1,0,0.12,0
"AB4slash6Mineral.ITS.S60",19.68,37.48,43.33,0.07,1.55,27.4,1.65,0.07,0,6.28,0.2,8.88,15.38,0,7.97,17,4.4,0.05,0,0,0,2.92,0,0,0.2,0
