sample_name	sample_title	bioproject_accession	organism	strain	isolate	cultivar	ecotype	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	isol_growth_condt	lat_lon	air_temp_regm	altitude	ances_data	antibiotic_regm	biol_stat	biotic_regm	biotic_relationship	chem_administration	chem_mutagen	climate_environment	collection_method	cult_root_med	depth	elev	extrachrom_elements	fertilizer_regm	fungicide_regm	gaseous_environment	genetic_mod	gravity	growth_facil	growth_habit	growth_hormone_regm	herbicide_regm	host_age	host_common_name	host_disease	host_dry_mass	host_genotype	host_height	host_length	host_life_stage	host_phenotype	host_subspecf_genlin	host_symbiont	host_taxid	host_tot_mass	host_wet_mass	humidity_regm	isolation_source	light_regm	mechanical_damage	mineral_nutr_regm	misc_param	neg_cont_type	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_growth_med	plant_product	plant_sex	plant_struc	pos_cont_type	radiation_regm	rainfall_regm	rel_to_oxygen	root_cond	root_med_carbon	root_med_macronutr	root_med_micronutr	root_med_ph	root_med_regl	root_med_solid	root_med_suppl	salt_regm	samp_capt_status	samp_collect_device	samp_dis_stage	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	season_environment	source_material_id	standing_water_regm	subspecf_gen_lin	temp	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	description
QUVE1000BARK1_ITS_S471_R1_001.fastq.gz.			QUVE1000BARK1		Sample_or_read_1			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000713	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE1000BARK1_ITS_S471_R2_001.fastq.gz.			QUVE1000BARK1		Sample_or_read_2			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000714	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE1000HEART1_ITS_S473_R1_001.fastq.gz.			QUVE1000HEART1		Sample_or_read_3			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000715	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE1000HEART1_ITS_S473_R2_001.fastq.gz.			QUVE1000HEART1		Sample_or_read_4			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000716	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE1000HEART2_ITS_S475_R1_001.fastq.gz.			QUVE1000HEART2		Sample_or_read_5			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000717	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE1000HEART2_ITS_S475_R2_001.fastq.gz.			QUVE1000HEART2		Sample_or_read_6			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000718	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE1000SAP_ITS_S477_R1_001.fastq.gz.			QUVE1000SAP		Sample_or_read_7			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000719	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE1000SAP_ITS_S477_R2_001.fastq.gz.			QUVE1000SAP		Sample_or_read_8			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000720	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE125BARK1_ITS_S479_R1_001.fastq.gz.			QUVE125BARK1		Sample_or_read_9			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000721	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE125BARK1_ITS_S479_R2_001.fastq.gz.			QUVE125BARK1		Sample_or_read_10			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000722	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE125HEART1_ITS_S481_R1_001.fastq.gz.			QUVE125HEART1		Sample_or_read_11			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000723	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE125HEART1_ITS_S481_R2_001.fastq.gz.			QUVE125HEART1		Sample_or_read_12			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000724	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE125HEART2_ITS_S483_R1_001.fastq.gz.			QUVE125HEART2		Sample_or_read_13			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000725	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE125HEART2_ITS_S483_R2_001.fastq.gz.			QUVE125HEART2		Sample_or_read_14			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000726	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE125SAP_ITS_S485_R1_001.fastq.gz.			QUVE125SAP		Sample_or_read_15			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000727	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE125SAP_ITS_S485_R2_001.fastq.gz.			QUVE125SAP		Sample_or_read_16			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000728	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE200BARK1_ITS_S487_R1_001.fastq.gz.			QUVE200BARK1		Sample_or_read_17			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000729	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE200BARK1_ITS_S487_R2_001.fastq.gz.			QUVE200BARK1		Sample_or_read_18			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000730	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE200HEART1_ITS_S489_R1_001.fastq.gz.			QUVE200HEART1		Sample_or_read_19			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000731	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE200HEART1_ITS_S489_R2_001.fastq.gz.			QUVE200HEART1		Sample_or_read_20			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000732	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE200HEART2_ITS_S491_R1_001.fastq.gz.			QUVE200HEART2		Sample_or_read_21			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000733	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE200HEART2_ITS_S491_R2_001.fastq.gz.			QUVE200HEART2		Sample_or_read_22			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000734	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE200SAP_ITS_S493_R1_001.fastq.gz.			QUVE200SAP		Sample_or_read_23			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000735	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE200SAP_ITS_S493_R2_001.fastq.gz.			QUVE200SAP		Sample_or_read_24			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000736	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE400BARK1_ITS_S495_R1_001.fastq.gz.			QUVE400BARK1		Sample_or_read_25			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000737	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE400BARK1_ITS_S495_R2_001.fastq.gz.			QUVE400BARK1		Sample_or_read_26			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000738	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE400HEART1_ITS_S497_R1_001.fastq.gz.			QUVE400HEART1		Sample_or_read_27			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000739	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE400HEART1_ITS_S497_R2_001.fastq.gz.			QUVE400HEART1		Sample_or_read_28			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000740	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE400HEART2_ITS_S499_R1_001.fastq.gz.			QUVE400HEART2		Sample_or_read_29			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000741	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE400HEART2_ITS_S499_R2_001.fastq.gz.			QUVE400HEART2		Sample_or_read_30			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000742	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE400SAP_ITS_S501_R1_001.fastq.gz.			QUVE400SAP		Sample_or_read_31			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000743	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE400SAP_ITS_S501_R2_001.fastq.gz.			QUVE400SAP		Sample_or_read_32			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000744	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE50BARK1_ITS_S503_R1_001.fastq.gz.			QUVE50BARK1		Sample_or_read_33			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000745	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE50BARK1_ITS_S503_R2_001.fastq.gz.			QUVE50BARK1		Sample_or_read_34			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000746	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
QUVE50HEART1_ITS_S505_R1_001.fastq.gz.			QUVE50HEART1		Sample_or_read_35			2021-2022	ENVO:01001805	ENVO:01001796	ENVO:00002040 | ENVO:00001998 | ENVO:01000349 | ENVO:01000628 | BTO:0000747	USA: Connecticut	Tree_or_neighboring_soil	NA	41.9529 N, 72.1239 W																																																																																									
