"Sequence.Run","Autosampler.Position","Sample.ID","Project","Sample.Type","Species","Tree.No","Tissue","FID_File","FID_Date","FID_Time","X","X.1","CH4_Area","X.2","X.3","X.4","X.5","CO2_Area","X.6","X.7","ECD_File","ECD_Date","ECD_Time","X.8","X.9","O2_Area","X.10","X.11","X.12","X.13","N2O_Area","X.14","X.15","O2_concentration_uncorrected","N2O_concentration_uncorrected","CH4_concentration_uncorrected","CO2_concentration_uncorrected","O2_concentration","CH4_concentration","CO2_concentration","N2O_concentration"
13,1,"Blank",NA,"Blank","","","","F241010s13.CHR","10/10/2024","15:11:48","CH4",1.36,0.624,3.0169,"ppm","CO2",1.856,127.5547,261.8493,"ppm","E241010s13.CHR","10/10/2024","15:11:48","O2",1.206,698.144,0,NA,"N2O",2.153,64.0002,0.0636,"ppm",164657.284471863,0.218738024424972,2.2351645024985,291.934758489872,210000,6.7054935074955,875.804275469617,0.656214073274917
14,2,"Blank",NA,"Blank","","","","F241010s14.CHR","10/10/2024","15:17:13","CH4",1.36,0.5908,2.8733,"ppm","CO2",1.853,120.207,234.6941,"ppm","E241010s14.CHR","10/10/2024","15:17:13","O2",1.2,688.1764,0,NA,"N2O",2.153,59.7825,0.0463,"ppm",160448.381065535,0.201204278925899,2.0757965255393,267.164237646202,210000,6.22738957661789,801.492712938607,0.603612836777696
15,3,"Blank",NA,"Blank","","","","F241010s15.CHR","10/10/2024","15:22:37","CH4",1.363,0.4122,2.1008,"ppm","CO2",1.86,125.2723,253.4141,"ppm","E241010s15.CHR","10/10/2024","15:22:37","O2",1.206,696.7264,0,NA,"N2O",2.156,62.2867,0.0565,"ppm",164058.69088175,0.211614693483307,1.21847361334309,284.240345711235,210000,3.65542084002926,852.721037133705,0.63484408044992
16,4,"Blank",NA,"Blank","","","","F241010s16.CHR","10/10/2024","15:28:02","CH4",1.363,0.4995,2.4784,"ppm","CO2",1.856,114.4088,213.2654,"ppm","E241010s16.CHR","10/10/2024","15:28:02","O2",1.206,694.0004,0,NA,"N2O",2.153,61.4216,0.053,"ppm",162907.614325141,0.208018315544798,1.63753458890148,247.617381629249,210000,4.91260376670444,742.852144887748,0.624054946634394
17,5,"N2",NA,"Standard","","","","F241010s17.CHR","10/10/2024","15:33:27","CH4",1.353,0.311,1.6631,"ppm","CO2",1.86,67.875,41.2883,"ppm","E241010s17.CHR","10/10/2024","15:33:27","O2",1.203,NA,0,NA,"N2O",2.16,30.8624,0,"ppm",NA,0.0809781667776269,0.732689298033702,90.7429225692486,NA,2.1980678941011,272.228767707746,0.242934500332881
18,6,"Blank",NA,"Blank","","","","F241010s18.CHR","10/10/2024","15:38:52","CH4",1.36,0.4582,2.2997,"ppm","CO2",1.853,106.5818,184.3388,"ppm","E241010s18.CHR","10/10/2024","15:38:52","O2",1.2,677.7975,0,NA,"N2O",2.146,61.3278,0.0526,"ppm",156065.802755416,0.207628371895934,1.43928466575644,221.231047586841,210000,4.31785399726934,663.693142760522,0.622885115687802
19,7,"O1",NA,"Standard","","","","F241010s19.CHR","10/10/2024","15:44:17","CH4",1.37,0.2599,1.442,"ppm","CO2",1.863,73.8699,63.4439,"ppm","E241010s19.CHR","10/10/2024","15:44:17","O2",1.203,483.9342,0,NA,"N2O",2.16,32.3106,0,"ppm",74205.3846274786,0.0869985973989984,0.487397020244081,110.952892410929,210000,1.46219106073224,332.858677232788,0.260995792196995
20,8,"Blank",NA,"Blank","","","","F241010s20.CHR","10/10/2024","15:49:41","CH4",1.366,0.4842,2.4122,"ppm","CO2",1.863,106.2629,183.1602,"ppm","E241010s20.CHR","10/10/2024","15:49:41","O2",1.2,746.5073,0,NA,"N2O",2.163,57.3195,0.0362,"ppm",195700.786769069,0.190965140256904,1.56409091277269,220.155973877102,210000,4.69227273831807,660.467921631307,0.572895420770712
21,9,"O2",NA,"Standard","","","","F241010s21.CHR","10/10/2024","15:55:06","",NA,NA,NA,"","CO2",1.86,71.9614,56.3906,"ppm","E241010s21.CHR","10/10/2024","15:55:06","O2",1.203,614.1933,0,NA,"N2O",2.16,32.3552,0,"ppm",129208.391338748,0.0871840077053879,NA,104.518969002224,210000,NA,313.556907006672,0.261552023116164
22,10,"Blank",NA,"Blank","","","","F241010s22.CHR","10/10/2024","16:00:31","CH4",1.363,0.4375,2.2102,"ppm","CO2",1.86,104.4344,176.4025,"ppm","E241010s22.CHR","10/10/2024","16:00:31","O2",1.203,690.1956,0,NA,"N2O",2.156,60.6802,0.0499,"ppm",161301.005344003,0.204936180989706,1.33991969217043,213.991745974132,210000,4.0197590765113,641.975237922397,0.614808542969117
23,11,"O3",NA,"Standard","","","","F241010s23.CHR","10/10/2024","16:05:55","",NA,NA,NA,"","CO2",1.86,75.6736,70.1099,"ppm","E241010s23.CHR","10/10/2024","16:05:55","O2",1.206,787.9166,0,NA,"N2O",2.156,37.7196,0,"ppm",215851.654667621,0.109484793525914,NA,117.033514707121,210000,NA,351.100544121363,0.328454380577741
24,12,"Blank",NA,"Blank","","","","F241010s24.CHR","10/10/2024","16:11:20","CH4",1.356,0.3934,2.0195,"ppm","CO2",1.85,106.0764,182.471,"ppm","E241010s24.CHR","10/10/2024","16:11:20","O2",1.2,679.417,0,NA,"N2O",2.15,58.7406,0.042,"ppm",156749.650328207,0.196872911252644,1.1282290962698,219.527246229356,210000,3.38468728880941,658.581738688068,0.590618733757933
25,13,"O4",NA,"Standard","","","","F241010s25.CHR","10/10/2024","16:16:45","CH4",1.366,0.2168,1.2556,"ppm","CO2",1.863,77.1042,75.397,"ppm","E241010s25.CHR","10/10/2024","16:16:45","O2",1.2,975.9242,1247.941,NA,"N2O",2.163,34.8659,0,"ppm",307341.158511534,0.0976214439442206,0.280506664613305,121.856344588438,210000,0.841519993839916,365.569033765314,0.292864331832662
26,14,"Blank",NA,"Blank","","","","F241010s26.CHR","10/10/2024","16:22:10","CH4",1.363,0.4138,2.1077,"ppm","CO2",1.86,133.2152,282.7691,"ppm","E241010s26.CHR","10/10/2024","16:22:10","O2",1.206,713.1051,0,NA,"N2O",2.156,64.6232,0.0661,"ppm",179446.386918769,0.221327948659964,1.22615399777486,311.017401117578,210000,3.67846199332457,933.052203352734,0.663983845979891
27,15,"O5",NA,"Standard","","","","F241010s27.CHR","10/10/2024","16:27:34","CH4",1.36,0.2141,1.2439,"ppm","CO2",1.856,76.9322,74.7614,"ppm","E241010s27.CHR","10/10/2024","16:27:34","O2",1.2,1003.7256,2431.4649,NA,"N2O",2.153,38.0068,0,"ppm",320870.059961083,0.110678736126699,0.267546015884695,121.276499251106,210000,0.802638047654086,363.829497753319,0.332036208380098
28,16,"Blank",NA,"Blank","","","","F241010s28.CHR","10/10/2024","16:32:59","CH4",1.366,0.4624,2.3179,"ppm","CO2",1.863,113.4735,209.8088,"ppm","E241010s28.CHR","10/10/2024","16:32:59","O2",1.2,737.7912,0,NA,"N2O",2.16,61.4527,0.0531,"ppm",191459.300443761,0.20814760389746,1.45944567488984,244.464304047818,210000,4.37833702466951,733.392912143453,0.624442811692379
29,17,"Blank",NA,"Blank","","","","F241010s29.CHR","10/10/2024","16:38:24","CH4",1.36,0.4396,2.2193,"ppm","CO2",1.856,113.1284,208.5334,"ppm","E241010s29.CHR","10/10/2024","16:38:24","O2",1.2,708.3669,0,NA,"N2O",2.156,67.429,0.0776,"ppm",177140.652644659,0.232992169235467,1.35000019673713,243.300905059951,210000,4.05000059021139,729.902715179852,0.698976507706402
30,18,"Blank",NA,"Blank","","","","F241010s30.CHR","10/10/2024","16:43:49","CH4",1.363,0.417,2.1215,"ppm","CO2",1.856,107.4173,187.4266,"ppm","E241010s30.CHR","10/10/2024","16:43:49","O2",1.206,664.9126,0,NA,"N2O",2.16,58.553,0.0412,"ppm",150625.044749457,0.196093023954916,1.24151476663839,224.047680024867,210000,3.72454429991518,672.143040074601,0.588279071864749
31,19,"N2",NA,"Standard","","","","F241010s31.CHR","10/10/2024","16:49:13","",NA,NA,NA,"","CO2",1.863,15.9607,0,"ppm","E241010s31.CHR","10/10/2024","16:49:13","O2",1.196,NA,0,NA,"",NA,NA,NA,"",NA,NA,NA,-84.270244848383,NA,NA,0,NA
32,20,"O6",NA,"Standard","","","","F241010s32.CHR","10/10/2024","16:54:38","CH4",1.366,0.248,1.3906,"ppm","CO2",1.853,75.0287,67.7265,"ppm","E241010s32.CHR","10/10/2024","16:54:38","O2",1.2,1124.817,7614.4988,NA,"N2O",2.15,32.08,0,"ppm",379796.359247733,0.0860399512856934,0.4302741610328,114.85943181151,210000,1.2908224830984,344.578295434529,0.25811985385708
33,21,"SB1",NA,"Standard","","","","F241010s33.CHR","10/10/2024","17:00:03","CH4",1.363,0.3468,1.8179,"ppm","CO2",1.866,57.4873,2.898,"ppm","E241010s33.CHR","10/10/2024","17:00:03","O2",1.2,725.5338,0,NA,"N2O",2.163,45.6822,0,"ppm",185494.523251688,0.142586768989063,0.904537899694532,55.7239725076253,210000,2.7136136990836,167.171917522876,0.427760306967189
34,22,"O5",NA,"Standard","","","","F241010s34.CHR","10/10/2024","17:05:28","CH4",1.366,0.2862,1.5558,"ppm","CO2",1.86,69.856,48.6095,"ppm","E241010s34.CHR","10/10/2024","17:05:28","O2",1.21,1020.6228,3150.7899,NA,"N2O",2.156,32.7585,0,"ppm",329092.687367376,0.0888605991082322,0.613643339341283,97.4212575300268,210000,1.84093001802385,292.26377259008,0.266581797324696
35,23,"SB3a",NA,"Standard","","","","F241010s35.CHR","10/10/2024","17:10:53","CH4",1.363,1.6266,7.3533,"ppm","CO2",1.86,210.412,568.0689,"ppm","E241010s35.CHR","10/10/2024","17:10:53","O2",1.203,397.8825,0,NA,"N2O",2.156,43.9229,0,"ppm",37869.3264740281,0.135273039122899,7.04788539705572,571.262776332219,113607.979422084,21.1436561911671,1713.78832899666,0.405819117368697
36,24,"O4",NA,"Standard","","","","F241010s36.CHR","10/10/2024","17:16:18","CH4",1.366,0.2167,1.2552,"ppm","CO2",1.853,79.4328,84.003,"ppm","E241010s36.CHR","10/10/2024","17:16:18","O2",1.2,868.8777,0,NA,"N2O",2.143,33.6008,0,"ppm",255249.481508969,0.0923621933026675,0.28002664058632,129.706506521638,210000,0.840079921758959,389.119519564913,0.277086579908003
